Ticket_ID,Created_Date,Resolved_Date,Support_Team,Support_Engineer,Application_Module,Issue_Category,Priority,Ticket_Status,Resolution_Days,SLA_Target_Days,SLA_Status,CSAT_Score
TKT00019,2024-04-16,,Application Support,Amit,User Management,Bug,Critical,In Progress,,1,,
TKT00020,2024-02-29,2024-02-29,Integration Support,Tarun,Orders,Performance Issue,Critical,Open,0.0,1,Met,
TKT00021,2024-06-24,,Infrastructure Support,Meena,Login,Configuration Issue,Critical,Pending Client,,1,,
TKT00022,2024-12-19,2024-12-20,Application Support,Priya,User Management,Data Issue,critical,Closed,1.0,1,Met,4.0
TKT00023,2024-07-01,2024-07-01,Application Support,Amit,User Management,Data Issue,critical,resolved,0.0,1,Met,5.0
TKT00024,2024-07-24,2024-08-01,Database Support,Sandeep,Payments,Configuration Issue,low,resolved,8.0,5,Breached,
TKT00025,2024-04-09,,Application Support,Rahul,Orders,Performance Issue,High,Pending client,,2,,
TKT00026,2024-04-26,,Integration Support,Manish,Login,Configuration Issue,Critical,Open,,1,,
TKT00027,2024-11-25,2024-11-29,Application Support,Sneha,API Integration,Data Issue,low,closed,4.0,5,Met,3.0
TKT00028,2024-11-21,,Database Support,Neha,Payments,Performance Issue,low,Pending client,,5,,
TKT00029,2024-03-22,2024-03-28,Infrastructure Support,Harish,Reporting,Bug,Low,Resolved,6.0,5,Breached,1.0
TKT00030,2024-12-02,,Infrastructure Support,Kiran,User Management,Access Issue,HIGH,Pending client,,2,,
TKT00031,2024-03-12,2024-03-13,Application Support,Rahul,API Integration,Bug,Medium,In Progress,1.0,3,Met,
TKT00032,2024-09-13,2024-09-16,Database Support,Vikram,Orders,Configuration Issue,High,resolved,3.0,2,Breached,2.0
TKT00033,2024-12-05,2024-12-05,Infrastructure Support,Kiran,Login,Data Issue,HIGH,In Progress,0.0,2,Met,
TKT00034,2024-01-10,2024-01-13,Database Support,Sandeep,Payments,Access Issue,Medium,Open,3.0,3,Met,
TKT00035,2024-03-02,2024-03-02,Database Support,Anjali,Payments,Performance Issue,Medium,Closed,0.0,3,Met,5.0
TKT00036,2024-04-07,,Infrastructure Support,Naveen,User Management,Bug,critical,Pending Client,,1,,
TKT00037,2024-06-15,2024-06-15,Infrastructure Support,Lakshmi,Login,Bug,HIGH,resolved,0.0,2,Met,4.0
TKT00038,2024-10-13,2024-10-17,Infrastructure Support,Lakshmi,Payments,Access Issue,High,resolved,4.0,2,Breached,1.0
TKT00039,2024-05-03,,Infrastructure Support,Harish,Orders,Bug,Low,In Progress,,5,,
TKT00040,2024-05-09,2024-05-09,Application Support,Priya,API Integration,Data Issue,critical,Resolved,0.0,1,Met,3.0
TKT00041,2024-04-24,2024-04-30,Application Support,Sneha,Reporting,Configuration Issue,Low,Resolved,6.0,5,Breached,3.0
TKT00042,2024-07-06,2024-07-06,Infrastructure Support,Kiran,Orders,Data Issue,Critical,Closed,0.0,1,Met,4.0
TKT00043,2024-05-31,2024-06-04,Application Support,Sneha,Orders,Access Issue,Medium,closed,4.0,3,Breached,
TKT00044,2024-01-21,2024-01-21,Database Support,Vikram,Login,Data Issue,High,Resolved,0.0,2,Met,3.0
TKT00045,2024-10-19,2024-10-19,Integration Support,Divya,Payments,Access Issue,Medium,Open,0.0,3,Met,
TKT00046,2024-01-09,2024-01-09,Application Support,Priya,Reporting,Bug,High,closed,0.0,2,Met,3.0
TKT00047,2024-01-06,2024-01-08,Database Support,Vikram,Orders,Bug,HIGH,Pending client,2.0,2,Met,
TKT00048,2024-12-29,2025-01-05,Integration Support,Tarun,Payments,Bug,Medium,resolved,7.0,3,Breached,1.0
TKT00049,2024-04-15,,Database Support,Anjali,Orders,Data Issue,Medium,Pending Client,,3,,
TKT00050,2024-01-08,2024-01-08,Integration Support,Manish,Login,Data Issue,Critical,Closed,0.0,1,Met,5.0
TKT00051,2024-11-28,2024-12-06,Infrastructure Support,Kiran,Reporting,Bug,Low,In Progress,8.0,5,Breached,
TKT00052,2024-06-24,2024-06-25,Infrastructure Support,Lakshmi,Orders,Configuration Issue,critical,resolved,1.0,1,Met,5.0
TKT00053,2024-03-07,2024-03-12,Database Support,Neha,Orders,Bug,low,Closed,5.0,5,Met,
TKT00054,2024-12-06,2024-12-07,Integration Support,Divya,Payments,Bug,Critical,In Progress,1.0,1,Met,
TKT00055,2024-08-23,2024-08-23,Integration Support,Tarun,Payments,Data Issue,Critical,Resolved,0.0,1,Met,
TKT00056,2024-05-05,2024-05-06,Integration Support,Manish,Orders,Access Issue,High,Closed,1.0,2,Met,4.0
TKT00057,2024-08-31,,Database Support,Vikram,Orders,Performance Issue,Critical,Pending Client,,1,,
TKT00058,2024-07-23,2024-07-24,Application Support,Rahul,Orders,Bug,critical,Closed,1.0,1,Met,4.0
TKT00059,2024-03-20,2024-03-24,Database Support,Vikram,User Management,Access Issue,low,In Progress,4.0,5,Met,
TKT00060,2024-03-15,2024-03-22,Infrastructure Support,Kiran,Orders,Access Issue,Low,Closed,7.0,5,Breached,3.0
TKT00061,2024-09-15,2024-09-19,Infrastructure Support,Lakshmi,Payments,Access Issue,low,Closed,4.0,5,Met,5.0
TKT00062,2024-11-22,2024-11-22,Database Support,Vikram,Login,Bug,critical,Pending client,0.0,1,Met,
TKT00063,2024-09-29,2024-10-03,Infrastructure Support,Lakshmi,Login,Bug,Low,resolved,4.0,5,Met,3.0
TKT00064,2024-09-26,2024-10-04,Application Support,Karthik,User Management,Bug,Low,closed,8.0,5,Breached,2.0
TKT00065,2024-11-28,,Application Support,Amit,Payments,Configuration Issue,critical,Open,,1,,
TKT00066,2024-11-25,2024-11-28,Infrastructure Support,Meena,Login,Access Issue,Low,resolved,3.0,5,Met,
TKT00067,2024-01-07,,Integration Support,Manish,User Management,Access Issue,critical,Open,,1,,
TKT00068,2024-12-28,,Application Support,Priya,API Integration,Performance Issue,High,Pending Client,,2,,
TKT00069,2024-08-30,2024-08-30,Application Support,Karthik,Payments,Data Issue,Critical,Closed,0.0,1,Met,3.0
TKT00070,2024-02-08,2024-02-08,Infrastructure Support,Meena,Reporting,Configuration Issue,critical,closed,0.0,1,Met,
TKT00071,2024-02-27,,Integration Support,Pooja,User Management,Access Issue,High,Pending client,,2,,
TKT00072,2024-09-08,,Infrastructure Support,Harish,Login,Configuration Issue,Critical,Open,,1,,
TKT00073,2024-06-18,2024-06-19,Infrastructure Support,Meena,Reporting,Data Issue,Critical,Closed,1.0,1,Met,4.0
TKT00074,2024-05-28,,Application Support,Priya,API Integration,Bug,Low,Pending Client,,5,,
TKT00075,2024-01-25,,Application Support,Amit,Reporting,Data Issue,low,Pending Client,,5,,
TKT00076,2024-09-18,,Integration Support,Pooja,Payments,Data Issue,HIGH,Pending client,,2,,
TKT00077,2024-10-08,2024-10-11,Infrastructure Support,Naveen,API Integration,Performance Issue,Medium,resolved,3.0,3,Met,3.0
TKT00078,2024-05-26,,Infrastructure Support,Harish,User Management,Configuration Issue,Low,Open,,5,,
TKT00079,2024-05-24,,Database Support,Anjali,Reporting,Performance Issue,High,Pending Client,,2,,
TKT00080,2024-09-04,,Integration Support,Divya,API Integration,Configuration Issue,High,In Progress,,2,,
TKT00081,2024-04-22,2024-04-26,Application Support,Priya,User Management,Performance Issue,Medium,Open,4.0,3,Breached,
TKT00082,2024-05-04,2024-05-06,Infrastructure Support,Harish,Payments,Access Issue,critical,closed,2.0,1,Breached,
TKT00083,2024-10-18,2024-10-23,Integration Support,Pooja,Orders,Data Issue,low,resolved,5.0,5,Met,5.0
TKT00084,2024-07-11,,Infrastructure Support,Harish,API Integration,Access Issue,critical,Pending Client,,1,,
TKT00085,2024-09-14,2024-09-18,Integration Support,Tarun,Orders,Configuration Issue,Low,resolved,4.0,5,Met,
TKT00086,2024-06-08,2024-06-08,Infrastructure Support,Harish,API Integration,Performance Issue,HIGH,Closed,0.0,2,Met,
TKT00087,2024-07-19,2024-07-19,Infrastructure Support,Lakshmi,Reporting,Bug,Critical,Open,0.0,1,Met,
TKT00088,2024-12-15,2024-12-20,Application Support,Priya,Payments,Configuration Issue,Medium,closed,5.0,3,Breached,3.0
TKT00089,2024-03-05,2024-03-08,Infrastructure Support,Naveen,User Management,Bug,Critical,resolved,3.0,1,Breached,1.0
TKT00090,2024-11-21,2024-11-25,Integration Support,Pooja,API Integration,Data Issue,Medium,In Progress,4.0,3,Breached,
TKT00091,2024-07-17,,Application Support,Amit,User Management,Access Issue,critical,Pending Client,,1,,
TKT00092,2024-06-10,2024-06-13,Application Support,Karthik,Orders,Performance Issue,High,resolved,3.0,2,Breached,1.0
TKT00093,2024-01-12,2024-01-12,Application Support,Sneha,API Integration,Data Issue,Critical,resolved,0.0,1,Met,5.0
TKT00094,2024-04-26,,Application Support,Amit,Payments,Performance Issue,High,Open,,2,,
TKT00095,2024-01-04,2024-01-04,Infrastructure Support,Meena,API Integration,Performance Issue,critical,Pending Client,0.0,1,Met,
TKT00096,2024-04-09,2024-04-13,Database Support,Neha,Payments,Data Issue,low,resolved,4.0,5,Met,4.0
TKT00097,2024-04-05,2024-04-12,Integration Support,Arjun,User Management,Performance Issue,Medium,resolved,7.0,3,Breached,3.0
TKT00098,2024-11-01,2024-11-03,Database Support,Neha,Login,Configuration Issue,Critical,Resolved,2.0,1,Breached,3.0
TKT00099,2024-02-27,2024-03-02,Infrastructure Support,Harish,API Integration,Data Issue,Low,closed,4.0,5,Met,4.0
TKT00100,2024-07-10,,Infrastructure Support,Naveen,Orders,Performance Issue,low,Pending client,,5,,
TKT00101,2024-03-04,2024-03-04,Application Support,Amit,Login,Data Issue,HIGH,resolved,0.0,2,Met,4.0
TKT00102,2024-07-09,,Infrastructure Support,Naveen,Login,Performance Issue,critical,Open,,1,,
TKT00103,2024-11-16,,Infrastructure Support,Naveen,API Integration ,Performance Issue,critical,In Progress,,1,,
TKT00104,2024-02-02,,Application Support,Rahul,Orders,Configuration Issue,Low,Pending client,,5,,
TKT00105,2024-06-01,2024-06-03,Application Support,Amit,API Integration,Data Issue,High,Closed,2.0,2,Met,5.0
TKT00106,2024-08-26,2024-08-26,Application Support,Rahul,Payments,Bug,HIGH,In Progress,0.0,2,Met,
TKT00107,2024-06-04,2024-06-07,Infrastructure Support,Kiran,Reporting,Configuration Issue,Critical,Resolved,3.0,1,Breached,2.0
TKT00108,2024-04-11,2024-04-14,Infrastructure Support,Meena,User Management,Bug,Medium,In Progress,3.0,3,Met,
TKT00109,2024-06-15,2024-06-21,Application Support,Rahul,Reporting,Access Issue,Medium,Resolved,6.0,3,Breached,1.0
TKT00110,2024-08-03,2024-08-03,Integration Support,Tarun,Login,Configuration Issue,Critical,Open,0.0,1,Met,
TKT00111,2024-11-13,2024-11-14,Database Support,Anjali,Payments,Performance Issue,HIGH,resolved,1.0,2,Met,5.0
TKT00112,2024-07-09,2024-07-11,Integration Support,Manish,Orders,Access Issue,High,Pending Client,2.0,2,Met,
TKT00113,2024-05-24,2024-05-26,Database Support,Anjali,Payments,Configuration Issue,critical,resolved,2.0,1,Breached,2.0
TKT00114,2024-02-21,2024-02-27,Database Support,Sandeep,User Management,Configuration Issue,Low,Open,6.0,5,Breached,
TKT00115,2024-05-30,2024-05-30,Infrastructure Support,Kiran,Reporting,Data Issue,Critical,resolved,0.0,1,Met,
TKT00116,2024-04-01,2024-04-06,Database Support,Vikram,Orders,Access Issue,low,Open,5.0,5,Met,
TKT00117,2024-11-13,,Application Support,Rahul,API Integration,Access Issue,Low,Pending client,,5,,
TKT00118,2024-11-02,2024-11-02,Database Support,Vikram,Payments,Data Issue,Critical,resolved,0.0,1,Met,4.0
TKT00119,2024-04-14,2024-04-14,Integration Support,Pooja,User Management,Data Issue,Critical,Closed,0.0,1,Met,5.0
TKT00120,2024-11-23,2024-11-27,Infrastructure Support,Naveen,Reporting,Access Issue,critical,closed,4.0,1,Breached,2.0
TKT00121,2024-01-27,2024-01-28,Infrastructure Support,Meena,API Integration,Data Issue,HIGH,Pending Client,1.0,2,Met,
TKT00122,2024-04-10,2024-04-13,Infrastructure Support,Harish,Login,Data Issue,Low,In Progress,3.0,5,Met,
TKT00123,2024-02-16,,Application Support,Sneha,Payments,Performance Issue,Critical,In Progress,,1,,
TKT00124,2024-03-13,,Database Support,Anjali,Login,Bug,Medium,In Progress,,3,,
TKT00125,2024-05-25,2024-05-26,Integration Support,Tarun,Payments,Configuration Issue,High,Resolved,1.0,2,Met,3.0
TKT00126,2024-01-23,,Infrastructure Support,Kiran,Orders,Configuration Issue,low,Open,,5,,
TKT00127,2024-03-23,2024-03-28,Infrastructure Support,Naveen,API Integration,Access Issue,Low,resolved,5.0,5,Met,5.0
TKT00128,2024-07-23,2024-07-24,Infrastructure Support,Kiran,User Management,Configuration Issue,Critical,Resolved,1.0,1,Met,3.0
TKT00129,2024-06-14,2024-06-20,Database Support,Vikram,User Management,Bug,Low,closed,6.0,5,Breached,2.0
TKT00130,2024-08-05,2024-08-06,Integration Support,Divya,Orders,Access Issue,critical,In Progress,1.0,1,Met,
TKT00131,2024-09-07,,Infrastructure Support,Kiran,Login,Bug,Medium,Open,,3,,
TKT00132,2024-02-04,2024-02-04,Infrastructure Support,Kiran,Reporting,Performance Issue,Critical,Resolved,0.0,1,Met,4.0
TKT00133,2024-11-21,2024-11-21,Infrastructure Support,Lakshmi,User Management,Bug,Critical,Resolved,0.0,1,Met,
TKT00134,2024-03-10,2024-03-15,Application Support,Rahul,User Management,Performance Issue,Low,Closed,5.0,5,Met,5.0
TKT00135,2024-03-25,2024-03-25,Application Support,Priya,Payments,Performance Issue,High,resolved,0.0,2,Met,
TKT00136,2024-08-21,2024-08-21,Integration Support,Pooja,Orders,Access Issue,High,Resolved,0.0,2,Met,4.0
TKT00137,2024-07-09,2024-07-11,Integration Support,Tarun,User Management,Configuration Issue,High,Closed,2.0,2,Met,
TKT00138,2024-05-15,2024-05-17,Integration Support,Manish,Reporting,Configuration Issue,low,closed,2.0,5,Met,3.0
TKT00139,2024-12-18,2024-12-18,Integration Support,Divya,User Management,Access Issue,Medium,closed,0.0,3,Met,5.0
TKT00140,2024-10-22,2024-10-24,Infrastructure Support,Meena,Orders,Performance Issue,High,Resolved,2.0,2,Met,3.0
TKT00141,2024-09-21,,Database Support,Sandeep,API Integration,Bug,High,Pending Client,,2,,
TKT00142,2024-03-17,2024-03-18,Integration Support,Arjun,API Integration,Bug,critical,Pending Client,1.0,1,Met,
TKT00143,2024-11-09,2024-11-09,Integration Support,Arjun,Payments ,Performance Issue,critical,Closed,0.0,1,Met,
TKT00144,2024-09-30,2024-09-30,Integration Support,Manish,Login,Access Issue,High,resolved,0.0,2,Met,4.0
TKT00145,2024-03-09,2024-03-09,Database Support,Rohit,User Management,Performance Issue,critical,Closed,0.0,1,Met,3.0
TKT00146,2024-12-06,,Infrastructure Support,Naveen,Login,Configuration Issue,low,Pending Client,,5,,
TKT00147,2024-10-31,2024-11-01,Application Support,Rahul,API Integration,Access Issue,High,Open,1.0,2,Met,
TKT00148,2024-02-01,2024-02-01,Infrastructure Support,Kiran,Payments,Bug,Critical,Closed,0.0,1,Met,3.0
TKT00149,2024-04-10,2024-04-14,Application Support,Rahul,User Management,Access Issue,Low,Resolved,4.0,5,Met,5.0
TKT00150,2024-02-02,2024-02-02,Infrastructure Support,Lakshmi,Payments,Access Issue,High,Pending Client,0.0,2,Met,
TKT00151,2024-08-11,,Infrastructure Support,Lakshmi,Login,Performance Issue,low,Open,,5,,
TKT00152,2024-11-25,2024-11-25,Database Support,Anjali,Login,Data Issue,critical,Closed,0.0,1,Met,
TKT00153,2024-08-11,,Integration Support,Arjun,Orders,Access Issue,Low,Pending Client,,5,,
TKT00154,2024-05-13,2024-05-15,Database Support,Vikram,User Management,Bug,critical,resolved,2.0,1,Breached,1.0
TKT00155,2024-05-02,2024-05-06,Integration Support,Pooja,Reporting,Data Issue,Medium,In Progress,4.0,3,Breached,
TKT00156,2024-01-14,2024-01-22,Infrastructure Support,Harish,User Management,Bug,low,In Progress,8.0,5,Breached,
TKT00157,2024-02-09,2024-02-09,Integration Support,Pooja,Reporting ,Access Issue,Medium,Resolved,0.0,3,Met,
TKT00158,2024-12-24,2024-12-26,Application Support,Karthik,Payments,Data Issue,critical,Closed,2.0,1,Breached,
TKT00159,2024-10-29,,Application Support,Rahul,API Integration,Bug,Critical,Pending client,,1,,
TKT00160,2024-04-14,2024-04-16,Application Support,Sneha,Login,Configuration Issue,critical,closed,2.0,1,Breached,
TKT00161,2024-02-20,2024-02-20,Application Support,Amit,Reporting,Bug,critical,resolved,0.0,1,Met,4.0
TKT00162,2024-07-07,2024-07-08,Application Support,Amit,Orders,Data Issue,Critical,Pending client,1.0,1,Met,
TKT00163,2024-07-30,2024-08-07,Infrastructure Support,Meena,User Management,Bug,low,Closed,8.0,5,Breached,1.0
TKT00164,2024-02-16,,Application Support,Karthik,User Management ,Configuration Issue,Low,Pending Client,,5,,
TKT00165,2024-09-08,2024-09-10,Database Support,Rohit,Login,Bug,High,closed,2.0,2,Met,3.0
TKT00166,2024-05-25,2024-05-28,Integration Support,Tarun,Orders,Access Issue,critical,resolved,3.0,1,Breached,1.0
TKT00167,2024-02-23,,Application Support,Rahul,Reporting,Access Issue,low,Pending client,,5,,
TKT00168,2024-04-15,,Infrastructure Support,Naveen,Reporting,Bug,High,Pending Client,,2,,
TKT00169,2024-03-05,2024-03-05,Database Support,Neha,API Integration,Configuration Issue,HIGH,Closed,0.0,2,Met,4.0
TKT00170,2024-08-25,2024-08-25,Infrastructure Support,Lakshmi,API Integration,Data Issue,critical,Open,0.0,1,Met,
TKT00171,2024-12-22,2024-12-25,Database Support,Anjali,Orders,Performance Issue,Low,resolved,3.0,5,Met,4.0
TKT00172,2024-09-24,,Database Support,Anjali,Payments,Data Issue,Medium,Pending client,,3,,
TKT00173,2024-12-02,2024-12-02,Database Support,Rohit,API Integration,Bug,critical,closed,0.0,1,Met,
TKT00174,2024-05-20,2024-05-23,Database Support,Rohit,API Integration,Data Issue,HIGH,resolved,3.0,2,Breached,
TKT00175,2024-01-07,2024-01-07,Integration Support,Pooja,Reporting,Performance Issue,Critical,In Progress,0.0,1,Met,
TKT00176,2024-01-12,2024-01-13,Database Support,Sandeep,API Integration,Data Issue,HIGH,Resolved,1.0,2,Met,5.0
TKT00177,2024-11-27,2024-12-01,Database Support,Neha,API Integration,Access Issue,Medium,In Progress,4.0,3,Breached,
TKT00178,2024-08-09,,Database Support,Anjali,API Integration,Bug,HIGH,Pending client,,2,,
TKT00179,2024-08-04,,Infrastructure Support,Kiran,Reporting,Configuration Issue,High,Open,,2,,
TKT00180,2024-06-16,2024-06-22,Infrastructure Support,Lakshmi,API Integration,Configuration Issue,Low,Closed,6.0,5,Breached,2.0
TKT00181,2024-03-23,2024-03-23,Application Support,Rahul,Orders,Access Issue,critical,resolved,0.0,1,Met,3.0
TKT00182,2024-01-09,,Infrastructure Support,Lakshmi,Payments,Performance Issue,Medium,Pending client,,3,,
TKT00183,2024-09-20,2024-09-22,Infrastructure Support,Kiran,API Integration,Configuration Issue,HIGH,closed,2.0,2,Met,5.0
TKT00184,2024-02-01,2024-02-05,Application Support,Amit,Orders,Performance Issue,HIGH,Closed,4.0,2,Breached,
TKT00185,2024-06-04,2024-06-05,Integration Support,Tarun,Orders,Bug,critical,In Progress,1.0,1,Met,
TKT00186,2024-03-07,2024-03-07,Database Support,Neha,Reporting,Configuration Issue,critical,closed,0.0,1,Met,5.0
TKT00187,2024-05-30,2024-05-30,Database Support,Anjali,Orders,Performance Issue,HIGH,Resolved,0.0,2,Met,4.0
TKT00188,2024-05-09,2024-05-15,Database Support,Rohit,API Integration,Performance Issue,Low,In Progress,6.0,5,Breached,
TKT00189,2024-09-02,,Integration Support,Manish,Payments,Data Issue,High,Open,,2,,
TKT00190,2024-02-13,2024-02-16,Integration Support,Pooja,Orders,Performance Issue,Critical,Pending client,3.0,1,Breached,
TKT00191,2024-02-06,,Integration Support,Tarun,Login,Bug,critical,Pending Client,,1,,
TKT00192,2024-03-19,2024-03-19,Database Support,Anjali,Payments,Performance Issue,High,resolved,0.0,2,Met,5.0
TKT00193,2024-09-10,2024-09-12,Application Support,Karthik,API Integration,Data Issue,critical,resolved,2.0,1,Breached,3.0
TKT00194,2024-04-29,2024-04-29,Application Support,Karthik,Login,Data Issue,HIGH,Resolved,0.0,2,Met,5.0
TKT00195,2024-09-12,2024-09-12,Infrastructure Support,Kiran,API Integration ,Performance Issue,critical,Resolved,0.0,1,Met,5.0
TKT00196,2024-12-06,2024-12-11,Integration Support,Divya,API Integration,Access Issue,HIGH,Pending Client,5.0,2,Breached,
TKT00197,2024-11-27,2024-11-28,Infrastructure Support,Naveen,Payments ,Data Issue,Low,Closed,1.0,5,Met,
TKT00198,2024-03-14,2024-03-17,Integration Support,Arjun,User Management,Performance Issue,HIGH,Closed,3.0,2,Breached,
TKT00199,2024-08-30,2024-09-02,Database Support,Rohit,Login,Data Issue,High,resolved,3.0,2,Breached,2.0
TKT00200,2024-09-09,,Application Support,Amit,Orders,Data Issue,low,In Progress,,5,,
TKT00201,2024-03-01,,Integration Support,Pooja,API Integration,Performance Issue,low,Pending client,,5,,
TKT00202,2024-01-21,2024-01-27,Database Support,Sandeep,API Integration,Bug,low,In Progress,6.0,5,Breached,
TKT00203,2024-01-24,2024-01-24,Application Support,Sneha,Orders,Bug,Critical,resolved,0.0,1,Met,4.0
TKT00204,2024-11-11,2024-11-11,Application Support,Karthik,User Management,Access Issue,HIGH,Resolved,0.0,2,Met,5.0
TKT00205,2024-03-30,2024-04-03,Application Support,Priya,Login,Performance Issue,Low,closed,4.0,5,Met,3.0
TKT00206,2024-06-07,2024-06-13,Application Support,Rahul,Orders,Configuration Issue,low,Pending Client,6.0,5,Breached,
TKT00207,2024-11-24,2024-11-27,Application Support,Amit,Login ,Performance Issue,Medium,Closed,3.0,3,Met,5.0
TKT00208,2024-02-04,2024-02-07,Application Support,Sneha,User Management,Performance Issue,HIGH,Closed,3.0,2,Breached,3.0
TKT00209,2024-02-12,,Database Support,Neha,Reporting,Access Issue,Critical,Open,,1,,
TKT00210,2024-12-08,2024-12-12,Application Support,Sneha,Login,Bug,Low,closed,4.0,5,Met,3.0
TKT00211,2024-10-18,2024-10-18,Application Support,Priya,Reporting,Bug,High,resolved,0.0,2,Met,5.0
TKT00212,2024-02-13,2024-02-17,Application Support,Amit,API Integration,Configuration Issue,Low,Pending Client,4.0,5,Met,
TKT00213,2024-02-01,2024-02-03,Infrastructure Support,Meena,Login,Bug,Critical,Closed,2.0,1,Breached,3.0
TKT00214,2024-11-03,2024-11-07,Application Support,Sneha,Orders,Data Issue,Low,Resolved,4.0,5,Met,4.0
TKT00215,2024-12-12,2024-12-14,Integration Support,Manish,User Management,Performance Issue,HIGH,Resolved,2.0,2,Met,
TKT00216,2024-07-16,2024-07-16,Integration Support,Pooja,API Integration,Performance Issue,HIGH,Open,0.0,2,Met,
TKT00217,2024-11-29,2024-11-30,Integration Support,Manish,Orders,Bug,Medium,Pending client,1.0,3,Met,
TKT00218,2024-08-07,2024-08-10,Application Support,Priya,User Management,Data Issue,Medium,resolved,3.0,3,Met,5.0
TKT00219,2024-05-14,,Database Support,Neha,Orders,Bug,High,Pending Client,,2,,
TKT00220,2024-05-20,,Application Support,Amit,Payments,Access Issue,critical,Open,,1,,
TKT00221,2024-11-06,2024-11-08,Infrastructure Support,Harish,Payments,Configuration Issue,High,Closed,2.0,2,Met,4.0
TKT00222,2024-10-03,2024-10-08,Integration Support,Tarun,Login,Performance Issue,HIGH,closed,5.0,2,Breached,2.0
TKT00223,2024-09-24,,Database Support,Neha,User Management,Access Issue,High,Pending client,,2,,
TKT00224,2024-12-24,,Database Support,Anjali,Payments,Bug,critical,Pending Client,,1,,
TKT00225,2024-09-09,2024-09-09,Infrastructure Support,Lakshmi,Payments,Configuration Issue,Critical,Pending client,0.0,1,Met,
TKT00226,2024-01-16,,Infrastructure Support,Naveen,Payments,Data Issue,Medium,Pending client,,3,,
TKT00227,2024-10-27,2024-10-30,Application Support,Rahul,Payments,Access Issue,HIGH,resolved,3.0,2,Breached,2.0
TKT00228,2024-01-20,,Infrastructure Support,Lakshmi,User Management,Configuration Issue,High,Pending client,,2,,
TKT00229,2024-07-08,,Application Support,Rahul,Login,Bug,Medium,Open,,3,,
TKT00230,2024-12-27,2024-12-29,Application Support,Karthik,API Integration,Performance Issue,Critical,closed,2.0,1,Breached,3.0
TKT00231,2024-03-22,2024-03-23,Application Support,Karthik,Reporting,Configuration Issue,HIGH,Pending client,1.0,2,Met,
TKT00232,2024-01-31,2024-02-01,Database Support,Anjali,Login,Data Issue,High,Closed,1.0,2,Met,3.0
TKT00233,2024-01-03,2024-01-06,Infrastructure Support,Naveen,Login,Configuration Issue,High,resolved,3.0,2,Breached,2.0
TKT00234,2024-05-11,,Infrastructure Support,Naveen,Reporting,Data Issue,High,In Progress,,2,,
TKT00235,2024-01-07,2024-01-12,Database Support,Neha,Payments,Configuration Issue,Low,Open,5.0,5,Met,
TKT00236,2024-07-10,2024-07-15,Application Support,Priya,Payments,Bug,Medium,Resolved,5.0,3,Breached,1.0
TKT00237,2024-06-22,2024-06-26,Infrastructure Support,Naveen,API Integration,Bug,HIGH,Pending client,4.0,2,Breached,
TKT00238,2024-01-30,2024-02-03,Integration Support,Pooja,Orders,Configuration Issue,Low,Resolved,4.0,5,Met,5.0
TKT00239,2024-05-06,2024-05-07,Infrastructure Support,Kiran,Orders,Performance Issue,HIGH,Resolved,1.0,2,Met,
